,country,year,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,biofuel_share_energy,renewables_cons_change_pct,renewables_share_elec,biofuel_cons_per_capita,biofuel_elec_per_capita,fossil_share_elec,coal_cons_change_pct,fossil_cons_change_pct,gas_cons_change_pct,oil_cons_change_pct
1148,Austria,2009,0.049,1.954,40.896,0.0,1.545,5.816,71.159,733.619,510.746,28.841,-24.654,-7.288,-2.609,-5.042
1672,Belgium,2009,0.166,0.996,0.328,47.222,0.21,35.534,6.063,141.575,363.688,41.306,-35.582,-9.089,0.992,-9.893
3964,Croatia,2009,0.0,0.054,7.408,0.0,0.0,27.384,56.005,0.0,5.752,43.995,-28.54,-6.465,-7.666,-2.335
5111,Estonia,2009,0.0,0.196,0.032,0.0,0.0,170.231,6.155,0.0,234.116,93.845,-9.223,-12.564,-32.083,-10.051
5613,Finland,2009,0.004,0.277,12.686,23.526,0.44,-21.084,30.236,279.915,1634.965,36.985,0.719,-5.147,-10.746,-6.169
5734,France,2009,0.174,7.912,56.994,409.736,0.98,-4.672,13.125,450.196,66.035,9.67,-10.954,-4.456,-3.569,-3.982
6123,Germany,2009,6.6,39.538,19.0,134.9,0.873,1.234,16.235,394.131,380.717,60.937,-10.465,-6.431,-5.665,-4.234
6404,Greece,2009,0.05,2.543,5.374,0.0,0.0,41.469,13.397,0.0,19.853,86.603,1.071,-5.016,-16.027,-5.575
7140,Hungary,2009,0.001,0.331,0.228,15.426,0.0,22.067,8.061,0.0,234.445,48.979,-15.8,-11.005,-13.341,-5.858
8039,Italy,2009,0.676,6.543,49.137,0.0,0.658,20.469,24.082,218.731,127.828,75.918,-21.708,-8.899,-8.081,-7.118
8886,Lithuania,2009,0.0,0.158,0.424,10.852,0.0,12.92,4.759,0.0,32.237,19.733,-20.501,-15.249,-15.963,-14.273
10679,Netherlands,2009,0.045,4.581,0.098,4.248,0.41,15.649,9.541,265.146,367.586,86.718,-5.706,-1.939,2.4,-4.469
11564,Norway,2009,0.02,0.977,124.03,0.0,0.0,-10.436,96.832,0.0,58.421,3.168,-20.393,-1.442,-4.466,0.973
12813,Poland,2009,0.0,1.077,2.375,0.0,0.671,33.139,5.744,190.72,136.272,94.256,-6.121,-4.349,-3.509,-1.101
12934,Portugal,2009,0.16,7.577,8.284,0.0,0.917,25.723,36.965,246.828,196.699,63.035,13.517,-3.537,-0.687,-7.367
14012,Slovakia,2009,0.0,0.006,4.368,14.081,0.0,7.215,18.975,0.0,99.426,26.616,-2.648,-8.288,-14.341,-5.998
14562,Spain,2009,6.064,38.117,26.411,52.761,0.222,18.1,25.411,78.813,74.875,56.491,-30.169,-10.091,-10.555,-6.406
14898,Sweden,2009,0.007,2.491,65.852,52.173,0.614,-3.13,58.422,373.255,1230.582,3.386,-29.501,-5.849,33.504,-3.525
14954,Switzerland,2009,0.05,0.023,35.366,26.267,0.0,-1.393,58.313,0.0,307.623,1.178,-5.64,0.495,-4.016,1.579
