,country,year,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,biofuel_share_energy,renewables_cons_change_pct,renewables_share_elec,biofuel_cons_per_capita,biofuel_elec_per_capita,fossil_share_elec,coal_cons_change_pct,fossil_cons_change_pct,gas_cons_change_pct,oil_cons_change_pct
1141,Austria,2002,0.009,0.14,40.227,0.0,0.059,-1.436,69.035,28.882,186.556,30.965,1.592,0.91,-1.685,2.11
1665,Belgium,2002,0.0,0.057,0.36,47.36,0.0,5.177,1.406,0.0,69.561,40.081,-14.274,-0.838,3.227,0.517
3957,Croatia,2002,0.0,0.0,5.851,0.0,0.0,-19.047,46.054,0.0,0.0,53.946,21.556,5.125,2.384,4.748
5104,Estonia,2002,0.0,0.001,0.006,0.0,0.0,89.878,0.352,0.0,16.631,99.648,-2.488,-0.684,-16.24,11.597
5606,Finland,2002,0.002,0.064,10.776,22.295,0.002,-8.536,26.54,1.508,1724.307,43.622,8.657,4.315,-0.702,3.601
5727,France,2002,0.007,0.266,60.397,436.76,0.127,-17.551,11.597,65.5,50.884,9.512,3.067,-1.617,-0.17,-2.76
6116,Germany,2002,0.2,15.8,23.7,164.8,0.142,17.519,7.922,69.323,78.494,63.757,0.222,-1.512,-0.155,-3.343
6397,Greece,2002,0.0,0.651,2.8,0.0,0.0,21.212,6.631,0.0,11.268,93.369,-3.789,-0.039,7.549,1.024
7133,Hungary,2002,0.0,0.001,0.194,13.953,0.0,-8.377,0.655,0.0,4.128,60.755,-3.515,-1.349,0.933,-3.722
8032,Italy,2002,0.021,1.404,39.519,0.0,0.0,-11.671,17.457,0.0,47.377,82.543,3.22,0.038,-0.678,0.034
8879,Lithuania,2002,0.0,0.0,0.354,14.142,0.0,8.365,2.083,0.0,1.126,15.482,61.217,-2.619,1.104,-7.421
10672,Netherlands,2002,0.016,0.947,0.11,3.915,0.0,19.326,4.152,0.0,180.114,91.76,0.578,-0.13,-1.01,0.458
11557,Norway,2002,0.01,0.075,128.078,0.0,0.0,6.689,99.742,0.0,69.512,0.258,-13.278,-1.513,6.724,-3.19
12806,Poland,2002,0.0,0.061,2.279,0.0,0.0,-1.216,1.942,0.0,11.094,98.058,-1.893,-1.076,-2.538,1.922
12927,Portugal,2002,0.002,0.362,7.8,0.0,0.0,-38.57,21.321,0.0,141.826,78.679,10.252,6.183,21.645,3.273
14005,Slovakia,2002,0.0,0.0,5.268,17.953,0.0,5.984,16.836,0.0,28.148,27.395,-3.137,-0.489,-4.88,11.426
14555,Spain,2002,0.018,9.342,21.224,63.016,0.103,-29.129,13.826,39.326,61.689,59.907,12.677,4.878,14.337,0.76
14891,Sweden,2002,0.002,0.608,66.36,68.111,0.0,-15.168,48.497,0.0,467.997,5.074,7.387,2.356,1.766,1.551
14947,Switzerland,2002,0.014,0.005,34.862,25.872,0.0,-15.037,57.727,0.0,260.803,1.649,-7.794,-4.715,-1.848,-5.215
