,country,year,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,biofuel_share_energy,renewables_cons_change_pct,renewables_share_elec,biofuel_cons_per_capita,biofuel_elec_per_capita,fossil_share_elec,coal_cons_change_pct,fossil_cons_change_pct,gas_cons_change_pct,oil_cons_change_pct
1139,Austria,2000,0.003,0.067,41.835,0.0,0.052,2.57,72.568,24.532,189.401,27.432,13.067,-0.697,-4.544,-2.088
1663,Belgium,2000,0.0,0.016,0.46,48.157,0.0,22.824,1.261,0.0,55.242,40.559,10.645,3.101,0.52,2.532
3955,Croatia,2000,0.0,0.0,6.453,0.0,0.0,-11.939,57.302,0.0,0.226,42.698,109.282,-3.673,0.895,-11.043
5102,Estonia,2000,0.0,0.0,0.005,0.0,0.0,12.5,0.214,0.0,9.471,99.786,5.643,2.315,14.955,-10.437
5604,Finland,2000,0.002,0.078,14.66,22.479,0.0,10.332,33.501,0.0,1665.194,34.287,-5.26,-0.939,2.151,0.186
5725,France,2000,0.005,0.048,66.363,415.162,0.12,-7.568,12.968,62.497,42.006,9.458,-2.766,-0.181,4.985,-1.572
6114,Germany,2000,0.04,9.5,24.9,169.6,0.065,32.286,6.616,31.563,41.769,63.73,3.821,-0.033,-0.831,-1.916
6395,Greece,2000,0.0,0.451,3.693,0.0,0.0,-12.85,7.757,0.0,0.0,92.243,5.977,6.16,34.225,4.46
7131,Hungary,2000,0.0,0.0,0.178,14.18,0.0,-1.22,0.69,0.0,6.338,59.015,-6.597,-3.817,-2.507,-4.016
8030,Italy,2000,0.018,0.563,44.199,0.0,0.0,-0.848,18.903,0.0,24.584,81.097,6.746,1.588,4.268,-0.594
8877,Lithuania,2000,0.0,0.0,0.34,8.419,0.0,-18.043,3.079,0.0,0.0,20.59,-31.982,-10.032,13.867,-22.922
10670,Netherlands,2000,0.008,0.829,0.142,3.926,0.0,18.326,3.324,0.0,125.07,92.284,3.834,1.165,0.279,1.437
11555,Norway,2000,0.01,0.031,140.4,0.0,0.0,16.733,99.805,0.0,63.57,0.195,2.424,-2.149,12.265,-7.339
12804,Poland,2000,0.0,0.005,2.106,0.0,0.0,-0.85,1.629,0.0,5.732,98.371,-7.38,-6.056,7.519,-8.071
12925,Portugal,2000,0.001,0.168,11.323,0.0,0.0,48.799,29.669,0.0,125.862,70.331,0.273,-1.169,2.723,-1.946
14003,Slovakia,2000,0.0,0.0,4.615,16.494,0.0,3.152,14.985,0.0,0.0,31.46,-6.079,-1.893,0.667,-0.656
14553,Spain,2000,0.014,4.727,28.256,62.206,0.054,32.021,15.612,20.215,36.571,56.23,6.8,4.032,14.521,1.265
14889,Sweden,2000,0.001,0.457,78.584,57.316,0.0,11.229,57.247,0.0,461.383,3.288,1.238,-11.643,-2.203,-13.699
14945,Switzerland,2000,0.011,0.003,36.466,25.124,0.0,-7.569,59.386,0.0,244.401,1.583,45.707,-2.326,-0.556,-3.001
