,country,year,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,biofuel_share_energy,renewables_cons_change_pct,renewables_share_elec,biofuel_cons_per_capita,biofuel_elec_per_capita,fossil_share_elec,coal_cons_change_pct,fossil_cons_change_pct,gas_cons_change_pct,oil_cons_change_pct
1155,Austria,2016,1.096,5.235,39.971,0.0,1.614,5.373,78.28,733.995,546.513,21.72,-7.249,2.287,4.695,3.483
1679,Belgium,2016,3.095,5.438,0.37,43.523,0.696,3.615,17.038,447.347,478.756,31.244,-5.203,1.304,2.141,1.632
3971,Croatia,2016,0.066,1.014,6.852,0.0,0.0,10.713,66.3,0.0,102.5,33.7,7.473,2.449,4.259,0.424
5118,Estonia,2016,0.01,0.594,0.035,0.0,0.0,-0.781,12.504,0.0,671.982,87.496,1.03,0.72,9.91,-2.415
5620,Finland,2016,0.022,3.068,15.799,23.203,0.571,-4.79,44.403,340.695,2095.803,21.72,14.371,6.926,-12.353,7.919
5741,France,2016,8.659,21.381,60.839,403.195,1.225,7.159,17.72,513.509,116.524,10.123,-2.692,2.096,9.271,-0.679
6130,Germany,2016,38.1,80.0,20.5,84.6,0.828,-0.105,29.42,381.221,619.267,57.46,-2.745,2.716,10.306,2.065
6411,Greece,2016,3.93,5.146,5.543,0.0,0.0,-0.304,27.369,0.0,25.834,72.631,-22.537,-1.855,30.163,0.233
7147,Hungary,2016,0.244,0.684,0.259,16.054,0.0,0.301,10.238,0.0,212.358,39.315,-6.316,1.851,7.181,-0.847
8046,Italy,2016,22.104,17.689,42.432,0.0,0.863,-1.704,37.609,254.147,321.403,62.391,-10.923,1.491,5.023,0.784
8893,Lithuania,2016,0.066,1.136,0.454,0.0,0.0,23.608,61.504,0.0,152.016,38.496,1.316,0.377,-10.895,8.734
10686,Netherlands,2016,1.602,8.17,0.1,3.96,0.307,4.312,12.841,179.777,288.826,83.718,-7.33,1.724,3.146,3.194
11571,Norway,2016,0.0,2.116,142.244,0.0,0.0,2.746,98.23,0.0,80.937,1.77,2.68,-3.784,-3.043,-4.565
12820,Poland,2016,0.124,12.588,2.139,0.0,0.449,-3.865,13.732,136.319,209.441,86.268,1.7,4.92,6.777,9.898
12941,Portugal,2016,0.871,12.474,15.723,0.0,1.092,28.404,54.631,318.059,297.351,45.369,-12.7,-1.644,5.373,-1.039
14019,Slovakia,2016,0.533,0.006,4.359,14.774,0.0,4.028,24.84,0.0,318.082,19.8,-1.299,1.111,0.409,4.05
14569,Spain,2016,13.643,48.905,36.395,58.633,0.828,7.367,38.582,279.345,122.012,39.798,-23.31,-0.593,2.044,3.427
14905,Sweden,2016,0.143,15.479,62.018,63.101,2.599,-11.622,57.173,1571.611,1167.861,2.35,-1.874,3.029,6.997,3.522
14961,Switzerland,2016,1.333,0.109,34.281,20.303,0.0,-8.568,64.68,0.0,357.16,1.401,-8.061,-3.385,5.058,-5.498
