,country,year,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,biofuel_share_energy,renewables_cons_change_pct,renewables_share_elec,biofuel_cons_per_capita,biofuel_elec_per_capita,fossil_share_elec,coal_cons_change_pct,fossil_cons_change_pct,gas_cons_change_pct,oil_cons_change_pct
1154,Austria,2015,0.937,4.84,37.157,0.0,2.01,-4.639,76.932,891.818,535.51,23.068,8.076,2.711,6.086,-0.418
1678,Belgium,2015,3.056,5.574,0.318,26.103,0.446,10.224,21.246,267.913,491.673,40.504,0.534,4.695,9.589,3.19
3970,Croatia,2015,0.057,0.796,6.391,0.0,0.0,-24.874,66.825,0.0,62.646,33.175,-6.337,2.497,3.094,3.889
5117,Estonia,2015,0.0,0.715,0.027,0.0,0.0,10.49,14.415,0.0,577.947,85.585,-9.555,-7.367,-11.101,-0.085
5619,Finland,2015,0.011,2.327,16.769,23.245,1.589,14.286,44.663,927.797,2083.444,21.328,-14.646,-6.166,-13.849,-0.387
5740,France,2015,7.753,21.421,55.556,437.428,1.198,-2.694,16.002,512.208,101.192,7.773,-2.932,1.903,7.501,0.054
6129,Germany,2015,38.7,80.6,19.0,91.8,0.84,13.849,29.39,382.297,616.235,56.32,-1.171,0.606,4.139,-0.137
6410,Greece,2015,3.9,4.621,6.098,0.0,0.0,21.225,28.656,0.0,21.71,71.344,-16.207,-1.652,7.985,3.377
7146,Hungary,2015,0.141,0.693,0.234,15.834,0.0,1.88,10.658,0.0,221.03,37.08,3.635,6.22,7.279,6.007
8045,Italy,2015,22.942,14.844,45.537,0.0,0.876,-10.101,38.759,255.841,320.008,61.241,-6.551,5.003,9.062,4.073
8892,Lithuania,2015,0.073,0.81,0.349,0.0,0.0,10.569,42.041,0.0,152.294,57.959,-19.824,3.995,0.086,9.325
10685,Netherlands,2015,1.109,7.55,0.093,4.077,0.39,12.34,12.415,224.675,291.291,83.886,21.63,0.833,-1.136,-2.38
11570,Norway,2015,0.0,2.513,136.662,0.0,0.0,0.962,98.168,0.0,91.154,1.832,-10.377,1.892,4.84,1.844
12819,Poland,2015,0.057,10.858,1.832,0.0,0.694,10.855,13.813,201.599,261.263,86.187,-1.565,0.489,0.501,4.569
12940,Portugal,2015,0.796,11.608,8.661,0.0,1.43,-21.309,47.534,394.106,299.375,52.466,21.685,7.925,16.818,1.872
14018,Slovakia,2015,0.506,0.006,3.866,15.146,0.0,-2.132,22.765,0.0,305.74,20.149,-3.599,2.468,2.839,8.203
14568,Spain,2015,13.859,49.325,28.14,57.196,0.74,-11.902,34.991,247.153,123.497,44.396,17.591,5.095,3.684,3.207
14904,Sweden,2015,0.097,16.322,75.312,56.348,1.977,18.806,63.275,1223.972,1102.407,1.939,-0.073,-1.155,11.09,-1.952
14960,Switzerland,2015,1.119,0.11,37.879,22.156,0.0,0.475,64.794,0.0,339.641,0.966,-8.596,2.233,6.844,1.246
