,country,year,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,biofuel_share_energy,renewables_cons_change_pct,renewables_share_elec,biofuel_cons_per_capita,biofuel_elec_per_capita,fossil_share_elec,coal_cons_change_pct,fossil_cons_change_pct,gas_cons_change_pct,oil_cons_change_pct
1145,Austria,2006,0.022,1.753,35.656,0.0,0.822,1.066,65.639,409.995,390.397,34.361,-0.086,-1.924,-6.03,-0.073
1669,Belgium,2006,0.002,0.366,0.359,46.645,0.0,39.289,3.512,0.0,209.603,41.02,-1.318,0.432,2.933,-0.358
3961,Croatia,2006,0.0,0.019,6.617,0.0,0.0,-6.442,51.435,0.0,2.517,48.565,-7.167,-0.038,-1.103,1.565
5108,Estonia,2006,0.0,0.076,0.014,0.0,0.0,17.074,1.334,0.0,29.652,98.666,-5.235,-1.67,1.237,4.385
5610,Finland,2006,0.003,0.156,11.494,22.906,0.002,-4.358,27.38,1.49,2049.259,44.704,56.164,12.744,6.879,-3.455
5731,France,2006,0.012,2.183,56.304,450.191,0.261,10.457,10.948,131.14,54.903,9.993,-7.598,-1.8,-3.421,-0.286
6120,Germany,2006,2.2,31.4,20.0,167.4,0.794,18.777,11.443,392.922,231.982,62.137,4.011,1.583,1.912,-0.193
6401,Greece,2006,0.001,1.699,5.865,0.0,0.0,19.118,12.761,0.0,10.203,87.239,-7.909,2.522,17.903,5.292
7137,Hungary,2006,0.0,0.043,0.186,13.461,0.0,-20.663,4.165,0.0,125.747,58.296,0.38,-0.9,-5.269,5.511
8036,Italy,2006,0.035,2.971,36.994,0.0,0.1,4.005,16.511,37.207,87.232,83.489,1.241,-0.759,-2.067,-0.082
8883,Lithuania,2006,0.0,0.014,0.397,8.651,0.0,-5.754,3.667,0.0,7.495,23.517,35.823,1.111,-0.904,0.607
10676,Netherlands,2006,0.037,2.734,0.106,3.469,0.044,9.766,8.157,29.018,314.667,88.328,-4.72,-2.158,-3.973,-0.413
11561,Norway,2006,0.02,0.636,118.175,0.0,0.0,-12.372,99.501,0.0,96.084,0.499,-14.219,0.493,-1.475,2.275
12810,Poland,2006,0.0,0.256,2.042,0.0,0.097,14.694,2.674,28.213,51.958,97.326,4.144,4.825,1.136,8.402
12931,Portugal,2006,0.005,2.925,11.002,0.0,0.284,92.564,32.367,78.571,161.718,67.633,-0.983,-8.787,-3.949,-11.456
14009,Slovakia,2006,0.0,0.006,4.399,18.012,0.0,2.096,15.395,0.0,73.776,26.877,4.287,-5.522,-8.892,-11.016
14559,Spain,2006,0.125,23.297,25.959,60.126,0.112,22.494,17.664,45.175,62.018,61.972,-12.699,-0.451,4.655,0.788
14895,Sweden,2006,0.002,0.984,61.722,66.977,0.335,-12.816,49.6,228.82,918.996,3.656,10.416,2.154,4.688,0.748
14951,Switzerland,2006,0.023,0.015,30.649,26.373,0.0,-1.057,54.743,0.0,312.953,1.535,7.947,1.607,-2.764,2.49
