,country,year,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,biofuel_share_energy,renewables_cons_change_pct,renewables_share_elec,biofuel_cons_per_capita,biofuel_elec_per_capita,fossil_share_elec,coal_cons_change_pct,fossil_cons_change_pct,gas_cons_change_pct,oil_cons_change_pct
1147,Austria,2008,0.03,2.011,38.329,0.0,1.177,3.469,69.043,580.588,498.479,30.957,-1.211,1.376,7.055,-0.974
1671,Belgium,2008,0.041,0.637,0.41,45.568,0.0,25.948,5.299,0.0,308.753,40.02,-1.242,2.946,-0.671,5.071
3963,Croatia,2008,0.0,0.04,5.78,0.0,0.0,22.432,45.704,0.0,4.847,54.296,2.91,-3.802,-3.073,-5.174
5110,Estonia,2008,0.0,0.133,0.028,0.0,0.0,32.727,1.871,0.0,27.342,98.129,-4.801,-4.737,-4.167,-4.88
5612,Finland,2008,0.004,0.261,17.112,22.958,0.246,15.023,36.082,169.048,1956.127,34.101,-23.735,-8.507,2.247,-2.352
5733,France,2008,0.042,5.694,63.654,439.447,0.866,15.642,12.978,423.666,63.833,9.77,-6.024,-0.807,3.632,-1.927
6122,Germany,2008,4.4,41.4,20.4,148.8,0.82,2.65,14.823,394.387,345.398,61.762,-7.585,0.366,0.975,6.034
6403,Greece,2008,0.005,2.242,3.312,0.0,0.0,24.386,9.141,0.0,17.333,90.859,-5.87,-4.34,4.268,-4.993
7139,Hungary,2008,0.001,0.205,0.213,14.818,0.0,24.395,5.888,0.0,194.01,57.09,-2.864,-2.901,-1.345,-4.992
8038,Italy,2008,0.193,4.861,41.623,0.0,0.381,25.506,18.612,136.039,101.258,81.388,-3.238,-3.113,-0.742,-5.019
8885,Lithuania,2008,0.0,0.131,0.402,9.894,0.0,3.024,4.6,0.0,21.392,19.81,-15.15,-1.457,-10.238,8.865
10678,Netherlands,2008,0.04,4.26,0.102,4.169,0.309,18.022,8.874,203.268,309.6,87.245,-5.398,-1.691,4.08,-4.909
11563,Norway,2008,0.02,0.913,137.654,0.0,0.0,3.371,99.592,0.0,97.254,0.408,3.054,-0.15,2.861,-1.413
12812,Poland,2008,0.0,0.837,2.152,0.0,0.456,44.963,4.273,134.352,94.33,95.727,-1.304,1.083,8.68,2.608
12933,Portugal,2008,0.041,5.757,6.799,0.0,0.566,-9.59,32.197,151.499,174.843,67.803,-12.489,-2.326,9.408,-3.347
14011,Slovakia,2008,0.0,0.007,4.039,16.703,0.0,-4.717,15.888,0.0,95.758,25.956,-0.272,2.791,1.513,7.843
14561,Spain,2008,2.578,32.946,23.364,58.973,0.132,6.652,20.003,51.509,70.643,61.015,-32.605,-4.672,9.835,-3.451
14897,Sweden,2008,0.004,1.998,69.069,63.889,0.619,5.078,54.31,414.352,1119.227,3.067,0.029,-4.958,-9.203,-5.576
14953,Switzerland,2008,0.034,0.019,35.676,26.275,0.0,1.686,58.466,0.0,313.394,1.233,-10.137,6.381,6.545,6.589
