,country,year,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,biofuel_share_energy,renewables_cons_change_pct,renewables_share_elec,biofuel_cons_per_capita,biofuel_elec_per_capita,fossil_share_elec,coal_cons_change_pct,fossil_cons_change_pct,gas_cons_change_pct,oil_cons_change_pct
1151,Austria,2012,0.337,2.463,43.848,0.0,1.475,23.18,74.715,700.682,550.353,25.285,-7.105,-2.606,-4.619,-0.052
1675,Belgium,2012,2.148,2.751,0.357,40.295,0.583,20.046,12.827,367.531,467.445,37.654,-5.813,-2.134,1.307,-3.263
3967,Croatia,2012,0.002,0.329,4.837,0.0,0.0,-1.114,49.674,0.0,21.859,50.326,-10.32,-8.776,-6.107,-10.386
5114,Estonia,2012,0.0,0.434,0.042,0.0,0.0,24.31,12.338,0.0,756.54,87.662,-6.436,0.142,4.06,18.701
5616,Finland,2012,0.006,0.494,16.859,22.987,0.659,16.802,40.748,405.104,2068.326,26.455,-18.116,-9.568,-11.559,-4.325
5737,France,2012,4.428,15.178,59.832,425.406,1.05,25.456,15.029,469.046,82.685,9.941,13.286,-0.178,3.313,-3.336
6126,Germany,2012,26.4,51.6,21.8,99.5,0.956,14.1,22.966,438.578,534.746,61.066,2.776,0.656,0.308,-0.6
6407,Greece,2012,1.694,3.85,4.403,0.0,0.0,23.904,16.704,0.0,18.949,83.296,3.059,-7.278,-8.092,-11.653
7143,Hungary,2012,0.008,0.77,0.213,15.793,0.0,-2.838,7.639,0.0,167.764,46.762,-3.785,-8.663,-10.753,-7.776
8042,Italy,2012,18.862,13.407,41.875,0.0,0.913,10.564,31.105,293.007,208.513,68.895,2.504,-4.481,-3.853,-6.554
8889,Lithuania,2012,0.002,0.54,0.423,0.0,0.0,5.713,27.492,0.0,71.443,72.508,-2.503,-0.123,-2.358,2.438
10682,Netherlands,2012,0.191,4.982,0.104,3.915,0.376,1.316,12.107,236.024,429.008,84.095,9.881,-3.403,-4.018,-5.048
11567,Norway,2012,0.0,1.548,141.189,0.0,0.0,17.084,98.173,0.0,87.754,1.827,-3.107,-0.989,-0.446,-0.998
12816,Poland,2012,0.001,4.747,2.037,0.0,0.78,24.449,10.443,230.946,264.062,89.557,-6.793,-4.073,5.877,-3.756
12937,Portugal,2012,0.393,10.26,5.623,0.0,1.244,-19.549,42.508,308.717,280.321,57.492,31.062,-5.279,-13.29,-8.943
14015,Slovakia,2012,0.424,0.006,4.103,15.495,0.0,10.031,19.371,0.0,173.777,25.797,-5.692,-5.716,-5.86,-5.563
14565,Spain,2012,11.968,49.472,20.545,61.47,1.481,2.125,29.602,521.509,105.752,49.473,21.116,-1.807,-1.25,-6.372
14901,Sweden,2012,0.019,7.164,78.932,64.037,1.223,15.43,59.068,804.54,1277.795,2.456,-14.24,-3.815,-12.816,-1.399
14957,Switzerland,2012,0.3,0.088,38.218,24.445,0.0,18.392,61.993,0.0,342.283,1.356,-9.93,3.208,9.618,1.876
