,country,year,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,biofuel_share_energy,renewables_cons_change_pct,renewables_share_elec,biofuel_cons_per_capita,biofuel_elec_per_capita,fossil_share_elec,coal_cons_change_pct,fossil_cons_change_pct,gas_cons_change_pct,oil_cons_change_pct
1142,Austria,2003,0.015,0.372,33.215,0.0,0.06,-16.351,60.694,29.819,201.405,39.306,6.658,8.477,9.995,8.207
1666,Belgium,2003,0.0,0.088,0.247,47.379,0.0,4.074,1.427,0.0,82.254,41.874,-3.269,4.71,6.531,5.472
3958,Croatia,2003,0.0,0.0,5.458,0.0,0.0,-7.315,41.373,0.0,0.0,58.627,11.218,7.036,-0.599,10.664
5105,Estonia,2003,0.0,0.006,0.013,0.0,0.0,30.264,0.482,0.0,21.85,99.518,15.63,8.63,10.199,-5.018
5607,Finland,2003,0.002,0.093,9.591,22.731,0.012,-4.553,22.675,9.024,1794.392,50.29,24.809,11.232,10.692,3.579
5728,France,2003,0.008,0.388,58.944,441.07,0.116,-2.547,11.23,59.689,53.558,10.218,6.305,1.923,4.892,0.174
6117,Germany,2003,0.3,19.2,17.7,165.1,0.203,1.113,7.631,99.234,109.05,65.039,1.652,-0.088,1.213,-1.955
6398,Greece,2003,0.0,1.021,4.766,0.0,0.0,63.663,10.175,0.0,9.359,89.825,0.538,3.568,13.05,4.049
7134,Hungary,2003,0.0,0.004,0.171,11.013,0.0,40.863,0.983,0.0,15.845,66.763,2.336,4.045,9.949,-4.592
8033,Italy,2003,0.024,1.458,36.67,0.0,0.0,-3.623,16.422,0.0,58.589,83.578,7.904,3.745,10.252,-0.827
8880,Lithuania,2003,0.0,0.0,0.325,15.484,0.0,-7.623,1.778,0.0,1.931,15.246,29.164,2.346,8.473,-4.233
10673,Netherlands,2003,0.025,1.32,0.072,4.018,0.0,-0.919,4.101,0.0,157.07,91.739,3.448,0.68,0.691,0.148
11558,Norway,2003,0.01,0.218,104.425,0.0,0.0,-18.748,99.59,0.0,93.435,0.41,-2.362,4.057,7.744,3.225
12807,Poland,2003,0.0,0.124,1.671,0.0,0.033,-14.647,1.5,8.998,11.836,98.5,2.953,3.615,11.346,1.571
12928,Portugal,2003,0.003,0.496,15.723,0.0,0.0,80.751,38.054,0.0,133.365,61.946,-4.265,-5.624,-3.576,-6.238
14006,Slovakia,2003,0.0,0.002,3.48,17.864,0.0,-37.873,11.564,0.0,18.333,30.747,8.363,-0.322,-3.386,-5.624
14556,Spain,2003,0.02,12.075,40.483,61.875,0.134,60.154,21.673,53.349,74.749,54.279,-6.802,2.936,13.875,3.007
14892,Sweden,2003,0.002,0.679,53.54,67.415,0.0,-17.976,43.383,0.0,503.854,6.82,-1.956,5.56,-0.282,7.149
14948,Switzerland,2003,0.017,0.005,34.471,26.113,0.0,-1.689,57.216,0.0,261.42,1.729,2.698,-1.296,5.698,-2.681
