,country,year,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,biofuel_share_energy,renewables_cons_change_pct,renewables_share_elec,biofuel_cons_per_capita,biofuel_elec_per_capita,fossil_share_elec,coal_cons_change_pct,fossil_cons_change_pct,gas_cons_change_pct,oil_cons_change_pct
1144,Austria,2005,0.021,1.331,37.095,0.0,0.226,2.808,63.4,114.557,294.991,36.6,-0.297,1.311,5.287,-0.408
1668,Belgium,2005,0.001,0.227,0.288,47.595,0.0,39.791,2.465,0.0,150.748,41.832,-8.117,-1.633,-1.714,-0.554
3960,Croatia,2005,0.0,0.01,7.036,0.0,0.0,-8.092,54.069,0.0,3.198,45.931,-0.903,0.588,-3.293,2.935
5107,Estonia,2005,0.0,0.054,0.022,0.0,0.0,78.566,1.091,0.0,26.055,98.909,-4.133,-1.734,3.152,1.043
5609,Finland,2005,0.003,0.17,13.784,23.271,0.0,-9.644,33.367,0.0,1808.75,33.547,-35.76,-11.592,-8.503,3.483
5730,France,2005,0.011,0.963,51.48,451.529,0.213,-10.652,9.861,108.789,55.481,11.092,3.854,0.024,2.185,-1.385
6119,Germany,2005,1.3,27.9,19.6,163.0,0.509,14.646,10.3,245.567,180.14,63.26,-4.324,-1.739,1.644,-2.042
6400,Greece,2005,0.001,1.266,5.017,0.0,0.0,7.579,10.78,0.0,10.826,89.22,-1.357,0.271,0.688,0.922
7136,Hungary,2005,0.0,0.01,0.202,13.834,0.0,98.522,5.229,0.0,164.323,56.08,-11.069,4.806,3.259,15.854
8035,Italy,2005,0.031,2.343,36.067,0.0,0.088,-11.008,16.38,33.163,80.204,83.62,-0.766,0.918,7.018,-3.198
8882,Lithuania,2005,0.0,0.002,0.451,10.337,0.0,6.755,3.23,0.0,1.991,24.046,9.544,6.25,5.472,6.732
10675,Netherlands,2005,0.035,2.067,0.088,3.997,0.0,39.428,7.472,0.0,321.186,88.517,-4.507,1.538,-2.864,6.152
11560,Norway,2005,0.01,0.499,134.331,0.0,0.0,24.006,99.633,0.0,82.47,0.367,-14.603,-3.336,-8.466,-0.321
12809,Poland,2005,0.0,0.135,2.201,0.0,0.056,28.933,2.481,15.527,39.384,97.519,1.154,1.969,2.979,3.419
12930,Portugal,2005,0.003,1.773,4.731,0.0,0.0,-33.617,17.881,0.0,159.944,82.119,0.63,4.321,13.333,3.249
14008,Slovakia,2005,0.0,0.006,4.638,17.727,0.0,12.718,14.924,0.0,5.927,28.498,-7.295,5.41,7.353,19.838
14558,Spain,2005,0.048,21.176,18.393,57.539,0.169,-17.35,14.86,68.459,60.266,64.913,-2.546,3.914,18.562,0.969
14894,Sweden,2005,0.002,0.935,72.803,72.377,0.27,18.411,51.294,197.028,828.61,3.003,-8.593,-1.221,-4.723,0.205
14950,Switzerland,2005,0.019,0.008,30.914,22.109,0.0,-7.699,58.831,0.0,285.502,1.814,11.439,2.035,2.661,1.803
